2018-08-18 10:43:11.325 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'org.springframework.boot.context.properties.ConversionServiceDeducer$Factory' of type [org.springframework.boot.context.properties.ConversionServiceDeducer$Factory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.325 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.341 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$3c4c9637] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.341 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'druidConfig' of type [club.pinea.school.config.DruidConfig$$EnhancerBySpringCGLIB$$ed6001e9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.356 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'druidDataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.356 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.356 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.372 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'sysUserMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.372 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'sysUserMapper' of type [com.sun.proxy.$Proxy86] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.372 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'accountServiceImpl' of type [club.pinea.school.service.impl.AccountServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.372 INFO  AuthorizingRealm.java getAuthorizationCacheLazy No cache or cacheManager properties have been set.  Authorization cache cannot be obtained.     
2018-08-18 10:43:11.372 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'shiroDbRealm' of type [club.pinea.school.shiro.ShiroDBRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.372 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.372 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'methodInvokingFactoryBean' of type [org.springframework.beans.factory.config.MethodInvokingFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.372 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$9784507] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.387 INFO  PostProcessorRegistrationDelegate.java postProcessAfterInitialization Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)     
2018-08-18 10:43:11.466 INFO  TomcatWebServer.java initialize Tomcat initialized with port(s): 8080 (http)     
2018-08-18 10:43:11.466 INFO  DirectJDKLog.java log Initializing ProtocolHandler ["http-nio-8080"]     
2018-08-18 10:43:11.466 INFO  DirectJDKLog.java log Starting service [Tomcat]     
2018-08-18 10:43:11.466 INFO  DirectJDKLog.java log Starting Servlet Engine: Apache Tomcat/8.5.32     
2018-08-18 10:43:11.490 INFO  DirectJDKLog.java log Initializing Spring embedded WebApplicationContext     
2018-08-18 10:43:11.490 INFO  ServletWebServerApplicationContext.java prepareWebApplicationContext Root WebApplicationContext: initialization completed in 665 ms     
2018-08-18 10:43:11.509 INFO  ServletRegistrationBean.java addRegistration Servlet dispatcherServlet mapped to [/]     
2018-08-18 10:43:11.509 INFO  ServletRegistrationBean.java addRegistration Servlet statViewServlet mapped to [/druid/*]     
2018-08-18 10:43:11.509 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'characterEncodingFilter' to: [/*]     
2018-08-18 10:43:11.509 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'hiddenHttpMethodFilter' to: [/*]     
2018-08-18 10:43:11.509 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'httpPutFormContentFilter' to: [/*]     
2018-08-18 10:43:11.509 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'requestContextFilter' to: [/*]     
2018-08-18 10:43:11.509 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'webStatFilter' to urls: [/*]     
2018-08-18 10:43:11.509 INFO  AbstractFilterRegistrationBean.java configure Mapping filter: 'shiroFilterFactoryBean' to: [/*]     
2018-08-18 10:43:11.588 INFO  AbstractUrlHandlerMapping.java registerHandler Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]     
2018-08-18 10:43:11.634 INFO  RequestMappingHandlerAdapter.java initControllerAdviceCache Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@35c33f6d: startup date [Sat Aug 18 10:43:10 CST 2018]; root of context hierarchy     
2018-08-18 10:43:11.650 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/login/],methods=[POST]}" onto public club.pinea.school.util.AjaxResult club.pinea.school.controller.LoginController.login(java.lang.String,java.lang.String,java.lang.String,java.lang.String,javax.servlet.http.HttpSession)     
2018-08-18 10:43:11.650 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/login/captcha]}" onto public void club.pinea.school.controller.LoginController.captcha(java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletResponse)     
2018-08-18 10:43:11.650 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/test/queryString/{string}]}" onto public java.lang.String club.pinea.school.controller.TestController.queryString(java.lang.String)     
2018-08-18 10:43:11.650 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)     
2018-08-18 10:43:11.650 INFO  AbstractHandlerMethodMapping.java register Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)     
